index,name,price,mcap,pe,pb,roce,roe,three_yr_rev_charge,3yrpatcharge,pbtbcfo,de,ds,sector,
1,NSE India Limited Unlisted Shares,1625,402188,47.85,16.78,46.6,35.06,28.66,27.17,256.17,,Yes,finance,
2,TATA Capital Unlisted Share,925,342250,102.89,13.92,,13.53,33.23,34.07,N/A,5.68,Yes,finance,
3,SBI Mutual Fund Unlisted Shares,2550,129117,62.29,19.13,37.48,30.72,29.29,38.42,56.04,,Yes,finance,
4,Nayara EnergyLimited Unlisted Shares,700,104339,8.47,2.4,32.08,28.33,13.83,265.76,17.51,0.27,No,energy,
5,HDB Financial Services Limited Unlisted Shares,995,78913,32.07,5.74,,17.91,11.96,56.02,N/A,5,Yes,finance,
6,Capgemini Technology Services India Limited Unlisted Shares,12500,74089,22.82,3.58,16.37,15.67,10.81,18.64,83.91,,No,it,
7,Anheuser Busch Inbev India Limited Unlisted Shares,600,55704,-127.12,74.44,-22.47,-59.32,47.35,N/A,317.65,1.25,No,fmcg,
8,ORAVEL STAYS LIMITED (Oyo Unlisted Shares),52,33800,148.57,37.41,11.28,25.53,6.17,N/A,84.46,4,No,hotels,
9,SBI General Insurance Unlisted Shares,1150,25689,107.48,110.05,,106.99,27.98,35.07,N/A,,No,insurance,
10,NSDL Unlisted Shares,1100,22000,80,13.05,15.5,16.33,29.08,13.89,39.65,,Yes,finance,
11,Big Basket Unlisted Shares,1950,21781.5,-15.39,24.75,-52.86,-160.95,8.81,N/A,111.55,1.8,No,fmcg,
12,Cochin International Airport Limited Unlisted Shares,425,20324,45.36,8.55,19.44,18.93,51.88,257.77,81.99,0.25,Yes,finance,
13,Hero Fincorp Limited Unlisted Shares,1395,17716.5,27.81,3.07,,11.05,32.82,N/A,N/A,7.38,Yes,miscellaneous,
14,Care Health  Insurance Company Limited Unlisted Shares,175,17011,55.73,17.33,,31.38,38.46,426.57,N/A,,No,insurance,
